name_ja,name_en,name_zh_cn,name_ko,name_vi,name_ru,name_id,note_ja,note_en,fee,trash_type_str
木（庭木）の枝・幹・根,"Tree (garden tree) branches, trunks, roots",树木（庭院树木）的树枝、树干、树根,"나무 (정원수) 가지, 줄기, 뿌리","Cành, thân, rễ cây (cây vườn)","Ветки, стволы, корни деревьев (садовые)","Ranting, Batang, Akar Pohon (pohon kebun)",収集期間外は「燃やせるごみ」または「大型ごみ」,"If outside the collection period, dispose of as 'Burnable waste' or 'Oversized waste'.",無料,枝・葉・草
着物,Kimono (Traditional Japanese clothing),和服,기모노,Kimono,Кимоно,Kimono,古着の無料回収に出すと資源に！,Can be recycled via free collection of used clothes!,有料,燃やせるごみ
脚立,Stepladder,梯子,사다리,Thang gấp,Стремянка,Tangga lipat,2mまで収集可,Collectable up to 2m.,有料,大型ごみ
キャッシュカード,Cash Card,银行卡,현금카드,Thẻ tiền mặt,Банковская карта,Kartu ATM,なし,N/A,有料,燃やせるごみ
キャリーバッグ,Carry Bag / Luggage,行李箱,여행 가방,Túi xách / Vali kéo,Сумка на колесах,Tas jinjing / Koper,金属製は「燃やせないごみ」,"Metal ones are ""Non-burnable waste"".",有料,燃やせるごみ
球根,Plant Bulb,球根,구근,Củ cây,Луковицы растений,Umbi tanaman,なし,N/A,有料,燃やせるごみ
給湯器,Water Heater,热水器,온수기,Máy nước nóng,Водонагреватель,Pemanas air,小型家電の無料回収に出すと資源に！,Recycle through free collection of small electronics.,有料,大型ごみ
教科書,Textbooks,教科书,교과서,Sách giáo khoa,Учебник,Buku pelajaran,古紙（新聞・雑誌・ダンボール）の無料回収のページから、集団資源回収や回収拠点のご利用方法をお調べいただけます。やむを得ない場合は「燃やせるごみ」で収集,"Check paper recycling points. If unavoidable, dispose as ""Burnable waste"".",-,集団資源回収など
鏡台,Dressing Table,梳妆台,경대,Bàn trang điểm,Туалетный столик,Meja rias,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
経机,Buddhist Sutra Desk,经案/佛案,경상,Bàn kinh Phật,Стол для сутр,Meja Sutra,木製はリユース（再利用）収集対象,Wooden items are eligible for reuse collection.,有料,大型ごみ
金庫,Safe,保险柜,금고,Két sắt,Сейф,Brankas,据置型、手提げ式ともに耐火性能の有無で異なります。耐火金庫：「市で収集しないもの」です。金属商に相談してください。耐火性の無い金庫：大きさにより、「燃やせないごみ」、「大型ごみ」,Varies by fire resistance. Fireproof safes are not collected (consult dealer). Non-fireproof safes depend on size.,-,（備考欄参照）
空気入れ,Air Pump,打气筒,공기 펌프,Bơm hơi,Насос,Pompa udara,プラ製は「燃やせるごみ」,"Plastic pumps are ""Burnable waste"".",有料,燃やせないごみ
空気清浄機,Air Purifier,空气净化器,공기 청정기,Máy lọc không khí,Очиститель воздуха,Pembersih udara,小型家電の無料回収に出すと資源に！※フロン含有製品は、小型家電の無料回収に出せません,Recycle through small electronics collection. *Excluding products with fluorocarbons.,有料,大型ごみ
空気清浄機のフィルター,Air Purifier Filter,空气净化器滤网,공기 청정기 필터,Lọc máy lọc không khí,Фильтр воздухоочистителя,Filter pembersih udara,なし,N/A,有料,燃やせるごみ
クーラーボックス,Cooler Box,保温箱,쿨러 박스,Thùng giữ lạnh,Термоящик,Kotak pendingin,なし,N/A,有料,大型ごみ
くぎ,Nails,钉子,못,Đinh,Гвозди,Paku,袋がやぶれないようガムテープで束ねるなどの工夫を,Bundle with duct tape to prevent tearing bags.,有料,燃やせないごみ
草,Grass / Weeds,草,풀,Cỏ,Трава,Rumput,収集期間外は「燃やせるごみ」,"Dispose as ""Burnable waste"" outside collection periods.",無料,枝・葉・草
草刈り機,Lawn Mower / Brush Cutter,割草机,잔디 깎는 기계,Máy cắt cỏ,Газонокосилка,Mesin pemotong rumput,電動式は、小型家電の無料回収に出すと資源に！エンジン付は販売店へ,Electric type: Recycle as small electronics. Engine type: Return to seller.,有料,大型ごみ
櫛（くし）,Comb,梳子,빗,Lược,Расческа,Sisir,金属製は「燃やせないごみ」,"Metal combs are ""Non-burnable waste"".",有料,燃やせるごみ
串（焼きとり・だんごの竹串など）,"Skewers (bamboo/wood, e.g., yakitori/dango)",串（竹签等）,꼬치 (대나무 등),Que xiên (tre/gỗ),Шпажки (бамбуковые/деревянные),Tusuk sate (bambu/kayu),袋がやぶれないようガムテープで束ねるなどの工夫を,Bundle with duct tape to prevent tearing bags.,有料,燃やせるごみ
薬（錠剤・カプセルなど）,"Medicine (tablets, capsules, etc.)",药（片剂、胶囊等）,"약 (정제, 캡슐 등)","Thuốc (viên nén, viên nang, v.v.)","Лекарства (таблетки, капсулы и т.д.)","Obat (tablet, kapsul, dll.)",なし,N/A,有料,燃やせるごみ
薬のチューブ（金属製）,Medicine Tube (Metal),药膏管（金属制）,약 튜브 (금속제),Ống thuốc (kim loại),Тюбик из-под лекарства (металл),Wadah obat (logam),中身を使い切って,Empty the contents completely.,有料,燃やせないごみ
薬のチューブ（プラ製）,Medicine Tube (Plastic),药膏管（塑料制）,약 튜브 (플라스틱),Ống thuốc (nhựa),Тюбик из-под лекарства (пластик),Wadah obat (plastik),中身を使い切って,Empty the contents completely.,無料,容器包装プラスチック
薬のびん,Medicine Bottle,药瓶,약병,Chai thuốc,Флакон от лекарства,Botol obat,金属製のふたは「燃やせないごみ」、プラ製のふたは「容器包装プラスチック」,"Metal lids are ""Non-burnable""; plastic lids are ""Container/Packaging Plastic"".",無料,びん・缶・ペットボトル
薬のプラ容器,Plastic Medicine Container,药品塑料容器,약 플라스틱 용기,Hộp thuốc nhựa,Пластиковый контейнер для лекарств,Wadah plastik obat,なし,N/A,無料,容器包装プラスチック
薬（錠剤・カプセル）の包装シート,Medicine Packaging Sheet (Blister Pack),药片包装板（泡罩包装）,약 포장 시트 (블리스터 팩),Vỉ/Màng bọc thuốc,Упаковочный лист лекарств (блистер),Lembar kemasan obat (blister pack),アルミとプラの複合,Composite of aluminum and plastic.,無料,容器包装プラスチック
果物かご（果物が入って販売されていたもの、プラ製）,"Fruit Basket (plastic, used for retail)",水果篮（塑料制，用于销售）,"과일 바구니 (판매용, 플라스틱)","Giỏ đựng trái cây (nhựa, dùng để bán)","Корзина для фруктов (пластик, продажная)","Keranjang buah (plastik, wadah penjualan)",なし,N/A,無料,容器包装プラスチック
果物の網・ネット,Fruit Mesh/Net,水果网/网袋,과일 망/네트,Lưới/Túi lưới đựng trái cây,Сетка для фруктов,Jaring/Net buah,発泡スチロール製ネットを含む,Includes Styrofoam nets.,無料,容器包装プラスチック
口紅の容器（プラ製）,Lipstick Container (Plastic),口红管（塑料制）,립스틱 용기 (플라스틱),Vỏ son môi (nhựa),Тюбик помады (пластик),Wadah lipstik (plastik),金属製は「燃やせないごみ」,"Metal ones are ""Non-burnable waste"".",無料,容器包装プラスチック
靴（革・合皮）,Shoes (Leather/Synthetic Leather),鞋子（皮革/合成皮）,신발 (가죽/합성 가죽),Giày (da/da tổng hợp),Обувь (кожа/кожзам),Sepatu (kulit/kulit sintetis),なし,N/A,有料,燃やせるごみ
クッキングヒーター,Cooking Heater,烹饪加热器,쿠킹 히터,Bếp điện/Bếp nấu ăn,Кухонный нагреватель,Kompor elektrik,小型家電の無料回収に出すと資源に！,Recycle through free collection of small electronics.,有料,大型ごみ
靴下,Socks,袜子,양말,Vớ/Tất,Носки,Kaus kaki,なし,N/A,有料,燃やせるごみ
クッション,Cushion,靠垫,쿠션,Đệm lót,Подушка (декоративная),Bantal kecil/Cushion,なし,None,有料,燃やせるごみ
クッションフロア,Cushion flooring,软垫地板,쿠션 플로어,Sàn đệm,Мягкое напольное покрытие,Lantai bantalan/Cushion floor,なし,None,有料,大型ごみ
靴墨のチューブ（金属製）,Shoe polish tube (metal),鞋油管（金属制）,구두약 튜브 (금속제),Tuýp xi đánh giày (kim loại),Тюбик крема для обуви (металлический),Tube semir sepatu (logam),中身を使い切って プラ製は「容器包装プラスチック」,"Empty the contents. Plastic tubes are ""Container and packaging plastic"".",有料,燃やせないごみ
靴の空き箱,Empty shoe box,空鞋盒,신발 빈 상자,Hộp giày rỗng,Пустая коробка из-под обуви,Kotak sepatu kosong,なし,None,無料,雑がみ
靴の中敷き,Shoe insole,鞋垫,신발 깔창,Lót giày,Стелька для обуви,Sol sepatu/Insole,なし,None,有料,燃やせるごみ
靴べら,Shoehorn,鞋拔,구둣주걱,Cái đón gót giày,Рожок для обуви,Sendok sepatu/Shoehorn,金属製は「燃やせないごみ」,"Metal ones are ""Non-combustible waste"".",有料,燃やせるごみ
グラスウール,Glass wool,玻璃棉,유리솜,Bông thủy tinh,Стекловата,Wol kaca/Glass wool,なし,None,有料,燃やせないごみ
クラッカー（爆竹）,Cracker (firecracker),鞭炮/彩带炮,폭죽 (크래커),Pháo nổ/Pháo giấy,Хлопушка (петарда),Petasan/Cracker,水に浸し、発火しないようにして,Soak in water to prevent ignition.,有料,燃やせるごみ
クリアファイル,Clear file folder,透明文件夹,클리어 파일 (투명 파일철),Bìa hồ sơ trong suốt,Прозрачный файл-папка,Map plastik bening/Clear file,なし,None,有料,燃やせるごみ
クリップ,Clip (paper clip),夹子/回形针,클립,Kẹp giấy,Скрепка/Зажим,Klip,なし,None,有料,燃やせないごみ
グリル鍋,Electric grill pan,电烤锅/多功能锅,전골냄비/그릴 냄비,Nồi nướng điện,Электрическая сковорода/гриль,Panci pemanggang listrik/Grill pan,なし,None,有料,燃やせないごみ
車いす,Wheelchair,轮椅,휠체어,Xe lăn,Инвалидная коляска,Kursi roda,バッテリーははずして販売店へ,Remove the battery and return it to the retailer.,有料,大型ごみ
クレジットカード,Credit card,信用卡,신용 카드,Thẻ tín dụng,Кредитная карта,Kartu kredit,なし,None,有料,燃やせるごみ
クレヨン,Crayon,蜡笔,크레용,Bút sáp màu,Восковой мелок,Krayon,なし,None,有料,燃やせるごみ
クレヨンセットのケース（プラ製）,Crayon set case (plastic),蜡笔套装盒（塑料制）,크레용 세트 케이스 (플라스틱제),Hộp bộ bút sáp màu (nhựa),Пенал от набора мелков (пластик),Kotak set krayon (plastik),紙製は「雑がみ」,"Paper cases are ""Miscellaneous paper"".",無料,容器包装プラスチック
グロー球（点灯管）,Glow starter (starting tube),启辉器（点灯管）,글로브 볼 (점등관),Bóng đèn mồi (đèn huỳnh quang),Стартер (для люминесцентных ламп),Starter lampu neon (Glow starter),なし,None,有料,燃やせないごみ
グローブ（野球用など）,"Glove (baseball, etc.)",手套（棒球用等）,글러브 (야구용 등),"Găng tay (dùng cho bóng chày, v.v.)",Перчатка (бейсбольная и т.п.),"Sarung tangan (untuk bisbol, dll.)",なし,None,有料,燃やせるごみ
くわ,Hoe,锄头,괭이,Cái cuốc,Мотыга/Тяпка,Cangkul,なし,None,有料,大型ごみ
軍手,Work gloves,棉布手套/劳保手套,면장갑,Găng tay bảo hộ lao động,Рабочие перчатки,Sarung tangan kerja,なし,None,有料,燃やせるごみ
蛍光管,Fluorescent tube,荧光灯管,형광등,Bóng đèn huỳnh quang,Люминесцентная лампа,Lampu neon/Lampu fluorescent,厚紙などで包んで、「キケン」と表示 割れていないものは、蛍光管の無料回収に出すと資源に！,"Wrap in thick paper and mark ""DANGER"". Unbroken tubes can be recycled via free collection.",有料,燃やせないごみ
蛍光ペン,Highlighter pen,荧光笔,형광펜,Bút dạ quang,Флуоресцентный маркер,Pulpen stabilo/Highlighter,なし,None,有料,燃やせるごみ
軽自動車,Kei car (light automobile),轻型汽车,경차,Xe ô tô hạng nhẹ (Kei car),Легковой автомобиль (кей-кар),Mobil Kei (mobil ringan),北海道自動車処理協同組合に相談（374-8200）,Consult the Hokkaido Automobile Processing Cooperative (374-8200).,-,市で収集しないもの
携帯電話,Mobile phone,手机,휴대폰,Điện thoại di động,Мобильный телефон,Ponsel,販売店に返却すると資源に！無料に！ 小型家電の無料回収に出すと資源に！,Returning it to the retailer allows free recycling. Also recyclable via free collection of small electronics.,有料,燃やせないごみ
携帯用発電機,Portable generator,便携式发电机,휴대용 발전기,Máy phát điện di động,Портативный генератор,Generator portabel,エンジン付は販売店へ,"If equipped with an engine, return it to the retailer.",有料,大型ごみ
毛糸,Yarn (wool),毛线,털실,Sợi len,Шерстяная пряжа,Benang wol,なし,None,有料,燃やせるごみ
計量カップ（ガラス・金属製）,Measuring cup (glass/metal),量杯（玻璃/金属制）,계량컵 (유리·금속제),Cốc đong (thủy tinh/kim loại),Мерный стакан (стекло/металл),Gelas ukur (kaca/logam),なし,None,有料,燃やせないごみ
計量カップ（プラ製）,Measuring cup (plastic),量杯（塑料制）,계량컵 (플라스틱제),Cốc đong (nhựa),Мерный стакан (пластик),Gelas ukur (plastik),なし,None,有料,燃やせるごみ
ゲートボールのクラブ,Gateball club (mallet),门球球杆,게이트볼 클럽 (채),Gậy bóng gôn cổng (Gateball club),Клюшка для гейтбола,Tongkat Gateball,木製は「燃やせるごみ」,"Wooden ones are ""Combustible waste"".",有料,燃やせないごみ
ケーブル,Cable,电缆/连接线,케이블,Dây cáp,Кабель,Kabel,小型家電の無料回収に出すと資源に！,Recyclable via free collection of small electronics.,有料,燃やせないごみ
ゲーム機（テレビゲーム機、携帯ゲーム機など）,"Game console (TV game, handheld game, etc.)",游戏机（电视游戏机、掌上游戏机等）,"게임기 (TV 게임기, 휴대용 게임기 등)","Máy chơi game (máy TV game, máy game cầm tay, v.v.)","Игровая приставка (ТВ-приставка, портативная приставка и т.п.)","Konsol game (TV game, handheld game, dll.)",小型家電の無料回収に出すと資源に！,Recyclable via free collection of small electronics.,有料,燃やせないごみ
ゲームソフト,Game Software,游戏软件,게임 소프트,Phần mềm trò chơi,Игровое ПО,Perangkat Lunak Game,カセット型は、小型家電の無料回収に出すと資源に！,Cartridge types can be recycled via free collection of small electronic devices.,有料,燃やせるごみ
消しゴム,Eraser,橡皮,지우개,Cục tẩy,Ластик,Penghapus,なし,None,有料,燃やせるごみ
化粧品携帯ポーチ,Portable Cosmetic Pouch,化妆品便携包,화장품 휴대용 파우치,Túi đựng mỹ phẩm xách tay,Косметичка,Kantong Kosmetik Portabel,なし,None,有料,燃やせるごみ
化粧品のびん,Cosmetic Bottle,化妆品瓶,화장품 병,Chai mỹ phẩm,Флакон от косметики,Botol Kosmetik,マニキュアのびんは「燃やせないごみ」,Nail polish bottles go in 'Non-combustible Waste'.,無料,びん・缶・ペットボトル
化粧品のびんのふた（プラ製）,Cosmetic Bottle Lid (Plastic),化妆品瓶盖（塑料制）,화장품 병 뚜껑 (플라스틱),Nắp chai mỹ phẩm (nhựa),Пластиковая крышка от флакона косметики,Tutup Botol Kosmetik (Plastik),なし,None,無料,容器包装プラスチック
げた箱,Shoe Cabinet,鞋柜,신발장,Tủ đựng giày,Обувной шкаф,Rak Sepatu,木製はリユース（再利用）収集対象,Wooden ones are subject to reuse collection.,有料,大型ごみ
ケチャップの容器・チューブ,Ketchup Container/Tube,番茄酱容器/软管,케첩 용기/튜브,Hộp/tuýp đựng tương cà,Контейнер/тюбик для кетчупа,Wadah/Tube Saus Tomat,中身を使い切って,Use up the contents completely.,無料,容器包装プラスチック
血圧計,Blood Pressure Monitor,血压计,혈압계,Máy đo huyết áp,Тонометр,Alat Pengukur Tekanan Darah,電子式は、小型家電の無料回収に出すと資源に！水銀式は、水銀体温計・水銀血圧計・水銀温度計の無料回収に出すと資源に！,"Electronic types can be recycled as small electronics. Mercury types are collected separately (thermometers, etc.).",有料,燃やせないごみ
毛抜き,Tweezers,镊子,쪽집게,Nhíp,Пинцет,Penjepit/Pinset,なし,None,有料,燃やせないごみ
けん引ロープ,Towing Rope,牵引绳,견인 로프,Dây kéo,Буксировочный трос,Tali Derek,なし,None,有料,燃やせるごみ
けん引ワイヤー,Towing Wire,牵引钢丝,견인 와이어,Dây cáp kéo,Буксировочный провод/трос,Kabel Derek,なし,None,有料,燃やせないごみ
玄関マット（金属製）,Doormat (Metal),门垫（金属制）,현관 매트 (금속제),Thảm cửa ra vào (kim loại),Придверный коврик (металлический),Keset Pintu Masuk (Logam),なし,None,有料,大型ごみ
玄関マット（布・ゴム・プラ製）,Doormat (Fabric/Rubber/Plastic),门垫（布/橡胶/塑料制）,현관 매트 (천/고무/플라스틱),Thảm cửa ra vào (vải/cao su/nhựa),Придверный коврик (ткань/резина/пластик),Keset Pintu Masuk (Kain/Karet/Plastik),なし,None,有料,燃やせるごみ
剣山,Kenzan (Floral Pin Holder),剑山 (花艺针座),켄잔 (꽃꽂이 받침),Kenzan (Dụng cụ cắm hoa),Кензан (подставка для икебаны),Kenzan (Dudukan Bunga),厚紙などで包み、袋がやぶれないよう工夫を,Wrap in thick paper to prevent bag breakage.,有料,燃やせないごみ
鍵盤ハーモニカ,Melodica/Keyboard Harmonica,键盘口琴,건반 하모니카,Kèn Melodica,Мелодика,Harmonika Keyboard,なし,None,有料,燃やせるごみ
碁石,Go Stones,围棋子,바둑돌,Quân cờ vây,Камни для го,Batu Go,なし,None,有料,燃やせないごみ
工具箱（金属製）,Toolbox (Metal),工具箱（金属制）,공구 상자 (금속제),Hộp dụng cụ (kim loại),Ящик для инструментов (металлический),Kotak Peralatan (Logam),なし,None,有料,燃やせないごみ
工具箱（木製・プラ製）,Toolbox (Wood/Plastic),工具箱（木制・塑料制）,공구 상자 (목재/플라스틱),Hộp dụng cụ (gỗ/nhựa),Ящик для инструментов (дерево/пластик),Kotak Peralatan (Kayu/Plastik),なし,None,有料,燃やせるごみ
工具類,Tools,工具类,공구류,Dụng cụ các loại,Инструменты,Peralatan/Perkakas,スパナ・ドライバー・ペンチなど,"Such as wrenches, screwdrivers, and pliers.",有料,燃やせないごみ
香水のびん,Perfume Bottle,香水瓶,향수 병,Chai nước hoa,Флакон от духов,Botol Parfum,なし,None,無料,びん・缶・ペットボトル
紅茶の缶,Tea Can,红茶罐,홍차 캔,Hộp trà,Банка для чая,Kaleng Teh,なし,None,無料,びん・缶・ペットボトル
紅茶のティーバッグ,Tea Bags,红茶茶包,홍차 티백,Túi trà (trà đen),Чайные пакетики,Kantong Teh,なし,None,有料,燃やせるごみ
コーキングガン,Caulking Gun,填缝枪,코킹 건,Súng bắn keo,Пистолет для герметика,Pistol Dempul (Caulking Gun),なし,None,有料,燃やせないごみ
コークス,Coke (Fuel),焦炭,코크스,Than cốc,Кокс,Kokas,水に浸し、発火しないようにして,Soak in water to prevent ignition.,有料,燃やせるごみ
ゴーグル,Goggles,护目镜,고글,Kính bảo hộ,Очки,Kacamata Pelindung (Goggle),なし,None,有料,燃やせるごみ
コート掛け,Coat Rack,衣帽架,코트 걸이,Móc treo áo khoác,Вешалка для одежды,Gantungan Mantel,木製はリユース（再利用）収集対象,Wooden ones are subject to reuse collection.,有料,大型ごみ
コードリール,Cord Reel,电线卷盘,코드 릴,Cuộn dây điện,Кабельная катушка,Gulungan Kabel,なし,None,有料,燃やせないごみ
コーヒーがら及びフィルター,Coffee Grounds and Filter,咖啡渣及滤纸,커피 찌꺼기 및 필터,Bã cà phê và phin lọc,Кофейная гуща и фильтр,Ampas Kopi dan Filter,なし,None,有料,燃やせるごみ
コーヒーのびん・缶,Coffee Bottle/Can,咖啡瓶/罐,커피 병/캔,Chai/lon cà phê,Бутылка/банка из-под кофе,Botol/Kaleng Kopi,なし,None,無料,びん・缶・ペットボトル
コーヒーのびんのふた（プラ製）,Coffee Bottle Lid (Plastic),咖啡瓶盖（塑料制）,커피 병 뚜껑 (플라스틱),Nắp chai cà phê (nhựa),Пластиковая крышка от кофейного флакона,Tutup Botol Kopi (Plastik),プラ製以外は「燃やせないごみ」,Non-plastic lids go in 'Non-combustible Waste'.,無料,容器包装プラスチック
コーヒーメーカー,Coffee Maker,咖啡机,커피 메이커,Máy pha cà phê,Кофеварка,Pembuat Kopi,小型家電の無料回収に出すと資源に！,Can be recycled if submitted for free small appliance collection.,有料,燃やせないごみ
コイン電池（型式記号にCR、BRの表示があるもの）,"Coin battery (marked CR, BR)",纽扣电池（型号标记为CR、BR）,"코인 배터리 (형식 기호에 CR, BR 표시가 있는 것)","Pin cúc áo (có ký hiệu CR, BR)","Батарейка-таблетка (с маркировкой CR, BR)","Baterai Koin (bertanda CR, BR)",セロハンテープでくるんで,Wrap with cellophane tape.,有料,燃やせないごみ
小型船舶,Small vessel,小型船舶,소형 선박,Tàu thuyền nhỏ,Малое судно,Kapal kecil,FRP船リサイクルセンターに相談（03-3567-6929）,Consult FRP Boat Recycling Center (03-3567-6929).,-,市で収集しないもの
固形燃料,Solid fuel,固体燃料,고형 연료,Nhiên liệu rắn,Твердое топливо,Bahan Bakar Padat,缶のまま出す場合は必ずふたを取る,Remove the lid if discarding the entire can.,有料,燃やせるごみ
ござ,Mat (Woven),榻榻米垫/草席,돗자리,Chiếu (Has),Циновка,Tikar (Woven Mat),なし,None.,有料,大型ごみ
こたつ・こたつ板,Kotatsu (Heated table) / Tabletop,日式暖桌/桌板,코타츠/코타츠 상판,Bàn sưởi Kotatsu/Mặt bàn,Котацу (обогреваемый стол) / Столешница,Kotatsu (Meja Pemanas)/Papan Meja,なし,None.,有料,大型ごみ
コップ（ガラス製・金属製）,Cup (Glass/Metal),杯子（玻璃制、金属制）,컵 (유리제/금속제),Cốc (Thủy tinh/Kim loại),Чашка (стекло/металл),Cangkir (Kaca/Logam),割れ物は厚紙などで包んで、「キケン」と表示,"Wrap broken items in thick paper and label ""DANGER.""",有料,燃やせないごみ
コップ（プラ製）,Cup (Plastic),杯子（塑料制）,컵 (플라스틱제),Cốc (Nhựa),Чашка (пластик),Cangkir (Plastik),なし,None.,有料,燃やせるごみ
コップ洗い（ブラシ）,Cup brush cleaner,洗杯刷,컵 세척솔,Cọ rửa cốc,Щетка для мытья чашек,Sikat Pencuci Cangkir,なし,None.,有料,燃やせるごみ
コップ型のびん（日本酒などの）,"Cup-shaped bottle (e.g., sake)",杯形瓶（如清酒）,컵 모양 병 (예: 일본주),Chai hình cốc (ví dụ: rượu sake),"Бутылка в форме чашки (например, сакэ)",Botol berbentuk cangkir (misalnya sake),なし,None.,無料,びん・缶・ペットボトル
子供用自転車,Children's bicycle,儿童自行车,어린이용 자전거,Xe đạp trẻ em,Детский велосипед,Sepeda Anak,リユース（再利用）収集対象,Eligible for reuse collection.,有料,大型ごみ
粉ミルクの缶,Powdered milk can,奶粉罐,분유 캔,Lon sữa bột,Банка из-под сухого молока,Kaleng Susu Bubuk,なし,None.,無料,びん・缶・ペットボトル
碁盤,Go board,围棋盘,바둑판,Bàn cờ vây,Доска для го,Papan Go,なし,None.,有料,燃やせるごみ
コピー機・印刷機,Copier / Printer,复印机/打印机,복사기/인쇄기,Máy photocopy/Máy in,Копировальный аппарат / Принтер,Mesin Fotokopi/Pencetak,重量100kg以下まで,Max weight 100 kg.,有料,大型ごみ
コピー用紙,Copy paper,复印纸,복사용지,Giấy photocopy,Бумага для копирования,Kertas Fotokopi,古紙（新聞・雑誌・ダンボール）の無料回収のページから、集団資源回収や回収拠点のご利用方法をお調べいただけます。やむを得ない場合は「雑がみ」で収集,"Use group recycling or collection centers. If unavoidable, dispose as ""Miscellaneous paper.""",-,集団資源回収など
ごみ箱（金属製）,Trash can (Metal),垃圾桶（金属制）,쓰레기통 (금속제),Thùng rác (Kim loại),Мусорное ведро (металл),Tempat Sampah (Logam),なし,None.,有料,燃やせないごみ
ごみ箱（木製・プラ製）,Trash can (Wood/Plastic),垃圾桶（木制、塑料制）,쓰레기통 (목재/플라스틱제),Thùng rác (Gỗ/Nhựa),Мусорное ведро (дерево/пластик),Tempat Sampah (Kayu/Plastik),なし,None.,有料,燃やせるごみ
小麦粘土,Wheat modeling clay,小麦粘土,밀가루 점토,Đất sét lúa mì,Пшеничная глина для лепки,Tanah Liat Gandum,粘土は「燃やせないごみ」,"Clay should be disposed of as ""Non-burnable waste.""",有料,燃やせるごみ
ゴム手袋,Rubber gloves,橡胶手套,고무장갑,Găng tay cao su,Резиновые перчатки,Sarung Tangan Karet,なし,None.,有料,燃やせるごみ
ゴム長靴,Rubber boots,橡胶长靴,고무 장화,Ủng cao su,Резиновые сапоги,Sepatu Bot Karet,なし,None.,有料,燃やせるごみ
ゴムボート（浮輪的な遊戯具）,Rubber boat (float/toy type),橡皮艇（类似浮圈的游乐工具）,고무보트 (튜브 형태의 놀이기구),Thuyền cao su (dạng phao/đồ chơi),Резиновая лодка (как игрушка),Perahu Karet (tipe pelampung/mainan),なし,None.,有料,燃やせるごみ
ゴムボート（底板付きのもの）,Rubber boat (with floorboards),橡皮艇（带底板）,고무보트 (바닥판이 있는 것),Thuyền cao su (có ván sàn),Резиновая лодка (с настилом),Perahu Karet (dengan alas lantai),なし,None.,有料,大型ごみ
米びつ（ハイザー）,Rice bin (Hizer type),米缸（海泽）,쌀통 (하이저),Thùng đựng gạo (Kiểu Hizer),Контейнер для риса (Hizer),Kotak Beras (tipe Hizer),なし,None.,有料,大型ごみ
コルク栓,Cork stopper,软木塞,코르크 마개,Nút chai bần,Пробка (корковая),Sumbat Gabus,なし,None.,有料,燃やせるごみ
コルク抜き,Corkscrew,开瓶器,코르크 따개,Dụng cụ mở nút chai,Штопор,Pembuka Gabus,厚紙などで包んで、「キケン」と表示,"Wrap in thick paper and label ""DANGER.""",有料,燃やせないごみ
ゴルフシューズ,Golf shoes,高尔夫球鞋,골프화,Giày golf,Обувь для гольфа,Sepatu Golf,なし,None.,有料,燃やせるごみ
ゴルフ用具一式,Complete golf set,高尔夫球具一套,골프 용품 일체,Bộ dụng cụ golf,Комплект для гольфа,Peralatan Golf Lengkap,なし,None.,有料,大型ごみ
コンタクトレンズ,Contact lenses,隐形眼镜,콘택트 렌즈,Kính áp tròng,Контактные линзы,Lensa Kontak,なし,None.,有料,燃やせるごみ
コンタクトレンズケース,Contact lens case,隐形眼镜盒,콘택트 렌즈 케이스,Hộp đựng kính áp tròng,Фуtляр для контактных линз,Kotak Lensa Kontak,なし,None.,有料,燃やせるごみ
コンテナボックス（プラ製）,Container box (Plastic),集装箱/收纳箱（塑料制）,컨테이너 박스 (플라스틱제),Hộp chứa (Nhựa),Контейнерный ящик (пластик),Kotak Kontainer (Plastik),なし,None.,有料,大型ごみ
コンパクトフラッシュ,CompactFlash,紧凑型闪存卡,컴팩트 플래시,CompactFlash,Карта CompactFlash,CompactFlash,小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small electronics.,有料,燃やせないごみ
コンパス,Compass,指南针,나침반,La bàn,Компас,Kompas,厚紙などで包んで、「キケン」と表示,"Wrap in thick paper and label ""DANGER"".",有料,燃やせないごみ
コンパネ（ベニヤ板）,Concrete form plywood (Veneer board),模板（胶合板）,콘크리트 거푸집 합판 (베니어판),Ván khuôn bê tông (Ván ép),Панель опалубки (Фанера),Papan bekisting (Papan triplek),なし,N/A,有料,大型ごみ
コンビニ弁当の容器,Convenience store meal container,便利店盒饭容器,편의점 도시락 용기,Hộp đựng cơm hộp tiện lợi,Контейнер от готового обеда из магазина,Wadah makanan toko serba ada,なし,N/A,無料,容器包装プラスチック
梱包材（プラ製）,Plastic packaging material,塑料包装材料,포장재 (플라스틱제),Vật liệu đóng gói (Nhựa),Упаковочный материал (пластиковый),Bahan pengepakan (plastik),なし,N/A,無料,容器包装プラスチック
コンポスト容器,Compost bin,堆肥容器,퇴비통,Thùng ủ phân,Контейнер для компоста,Tempat kompos,なし,N/A,有料,大型ごみ
サーキュレーター,Circulator fan,循环扇,서큘레이터,Quạt tuần hoàn,Циркуляционный вентилятор,Kipas sirkulasi,小型家電の無料回収に出すと資源に！,Can be recycled via free collection of small electronics.,有料,燃やせないごみ
サーフボード,Surfboard,冲浪板,서핑보드,Ván lướt sóng,Доска для серфинга,Papan selancar,2m以下に切断して／切断出来なければ販売店へ,"Cut into lengths of 2m or less. If uncuttable, contact the store.",有料,大型ごみ
