id,名称,住所,方書,電話番号,回収形態,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,事前連絡,備考,対象品目
139,読売センター月寒,札幌市豊平区月寒東4条8丁目5-5,なし,011-853-9798,古紙回収協力店,月火水木金土,10:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん
140,道営豊平団地 ,札幌市豊平区豊平6条10丁目2,なし,なし,エコボックス,月火水木金土日,8:00,18:00,12/28～1/7は利用不可。,不要,なし,古紙・リターナブルびん
141,読売センター西岡,札幌市豊平区西岡2条10丁目8-15,なし,011-853-0881,古紙回収協力店,月火水木金土日,10:00,17:00,日曜、祝日の利用時間は09:00～12:00。12/29～1/5は利用不可。,必要,なし,古紙・リターナブルびん
142,ラッキー西岡店,札幌市豊平区西岡3条11丁目3-16,なし,011-583-6031,古紙回収協力店,月火水木金土日,10:00,19:00,なし,不要,サービスカウンターに持ち込み,古紙・リターナブルびん
143,ラルズマート西岡中央店,札幌市豊平区西岡3条9丁目3-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
144,ラルズマート西岡店,札幌市豊平区西岡4条1丁目1-20,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,サービスカウンターに持ち込み,古紙・リターナブルびん
145,読売センター澄川合同会社,札幌市豊平区平岸1条20丁目8-23,なし,011-821-6295,古紙回収協力店,月火水木金土日,6:00,20:00,日曜、祝日の利用時間は06:00～11:00。1/1～1/3は利用不可。,不要,なし,古紙・リターナブルびん
146,ビッグハウス　エクストラ,札幌市豊平区平岸1条22丁目2-15,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
147,北海道エネルギー株式会社　トップロード平岸ステーション,札幌市豊平区平岸3条7丁目1,なし,011-821-4659,古紙回収協力店,月火水木金土日,なし,なし,終日利用可。,不要,なし,古紙・リターナブルびん
148,ラルズストア　平岸店,札幌市豊平区平岸5条8丁目1-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
149,読売センター美園,札幌市豊平区平岸5条8丁目2-15,なし,011-812-3372,古紙回収協力店,月火水木金土日,10:00,17:00,日曜、祝日の利用時間は10:00～12:00。,不要,なし,古紙・リターナブルびん
150,豊平区民センター,札幌市豊平区平岸6条10丁目,正面入り口左手奥,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
151,中谷商店,札幌市豊平区福住2条3丁目6-19,なし,090-1521-1628,古紙回収協力店,月火水木金土日,9:00,17:00,12/31～1/3は利用不可。,必要,なし,古紙・リターナブルびん
152,ラルズマート　美園店,札幌市豊平区美園2条1丁目2-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
153,有限会社マルヤマ札幌紙業,札幌市豊平区美園11条5丁目2-26,なし,011-821-6506,古紙回収協力店,月火水木金土日,8:00,18:00,8/15～8/17、12/31～1/5は利用不可,不要,なし,古紙・リターナブルびん
154,ビッグハウス　里塚店,札幌市清田区美しが丘1条7丁目1-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
155,フードD　VAlue店,札幌市清田区美しが丘4条6丁目1-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
156,スーパーアークス　北野店,札幌市清田区北野3条2丁目13-88,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
157,北野しらかば幼稚園,札幌市清田区北野5条2丁目2-20,なし,なし,エコボックス,月火水木金土日,9:00,16:00,祝日、お盆、年末年始は利用不可。,不要,なし,古紙・リターナブルびん
158,読売センター北野平岡,札幌市清田区北野7条4丁目11-22,なし,011-881-3400,古紙回収協力店,月火水木金土日,10:00,17:00,日曜、祝日の利用時間は10:00～12:00。,必要,なし,古紙・リターナブルびん
159,北海紙管株式会社清田営業所,札幌市清田区清田1条3丁目7-14,なし,011-882-7760,古紙回収協力店,月火水木金土日,8:30,17:30,なし,不要,なし,古紙・リターナブルびん
160,ラッキー　清田店,札幌市清田区清田2条2丁目16-7,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
161,市営住宅清田団地,札幌市清田区清田4条2丁目10,なし,なし,エコボックス,月火水木金土日,9:00,18:00,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
162,読売センター清田,札幌市清田6条1丁目11-4,なし,011-887-5529,古紙回収協力店,月火水木金土,9:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん
163,里塚・美しが丘地区センター,札幌市清田区里塚2条5丁目,駐車場奥,なし,古紙回収ボックス,月火水木金土日,9:00,20:00,17:00以降は事務室に立ち寄り。12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
164,ホクレンショップフードファーム平岡公園通り店,札幌市清田区里塚緑ヶ丘5丁目1-10,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
165,読売センター真栄,札幌市清田区真栄1条2丁目24-5,なし,011-882-0418,古紙回収協力店,月火水木金土,10:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん
166,清田区役所,札幌市清田区平岡1条1丁目,駐車場の庁舎側角,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
167,エコフィスジャパン株式会社平岡リサイクルセンター,札幌市清田区平岡1条2丁目12-17,なし,011-886-2610,古紙回収協力店,なし,8:00,17:00,日曜、祝日、1/1～1/3は利用不可。,必要,なし,古紙・リターナブルびん
168,フードD　平岡食彩館,札幌市清田区平岡2条3丁目9-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
169,パークシティ平岡町内会館  ,札幌市清田区平岡6条3丁目16-11,なし,なし,エコボックス,月火水木金土日,8:00,19:00,祝日、お盆、年末年始は利用不可。,不要,なし,古紙・リターナブルびん
170,コープさっぽろ　平岡典,札幌市平岡公園東3丁目1-5,なし,011-855-3539,古紙回収協力店,月火水木金土日,10:00,20:00,なし,不要,なし,古紙・リターナブルびん
171,ラルズマート石山店,札幌市南区石山東4丁目8-33,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,サービスカウンターに持ち込み,古紙・リターナブルびん
172,芸術の森地区会館,札幌市南区石山東7丁目,建物裏の駐車場奥,なし,古紙回収ボックス,月火水木金,9:00,17:00,土曜、日曜、祝日、12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
173,コープさっぽろ　ソシア店,札幌市南区川沿5条2丁目3-10,なし,011-571-5141,古紙回収協力店,月火水木金土日,10:00,20:00,なし,不要,なし,古紙・リターナブルびん
174,読売センター川沿,札幌市南区川沿11条2丁目2-22,ヒラマビル11-A,011-212-1088,古紙回収協力店,月火水木金土,10:00,17:00,日曜は利用不可。,必要,なし,古紙・リターナブルびん
175,ラッキー　川沿店,札幌市南区川沿12条2丁目1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
176,ほくしん（販）,札幌市南区川沿12条4丁目8-22,ドリマー2000-102号,090-7659-1160,古紙回収協力店,月火水木金土,8:00,17:00,日曜、1/1～1/4は利用不可,必要,なし,古紙・リターナブルびん
177,ビッグハウス　サウス,札幌市南区川沿15条1丁目1-55,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
178,和幸資源,札幌市南区澄川5条4丁目3-35,十倉ハウス102,011-822-2602,古紙回収協力店,月火水木金土日,15:00,18:00,毎月4、12、30、31日、1/1～1/4は利用不可。,必要,なし,古紙・リターナブルびん
179,ホクレンショップ　中ノ沢店,札幌市南区中ノ沢2丁目2,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
180,アイビーハイム藻岩,札幌市南区中ノ沢3丁目1-1,なし,なし,エコボックス,月火水木金土日,8:00,17:00,12/30～1/3は利用不可。,不要,なし,古紙・リターナブルびん
181,西藤野会館,札幌市南区藤野2条11丁目5-10,なし,なし,エコボックス,月火水木金土日,8:00,17:00,12/28～1/5は利用不可。,不要,なし,古紙・リターナブルびん
182,コープさっぽろ　藤野店,札幌市南区藤野3条6丁目2-1,なし,011-591-6811,古紙回収協力店,月火水木金土日,10:00,20:00,なし,不要,なし,古紙・リターナブルびん
183,読売センター藤野石山,札幌市南区藤野3条7丁目6-12,なし,011-591-8140,古紙回収協力店,月火水木金土,10:00,17:00,日曜、祝日は利用不可。,必要,なし,古紙・リターナブルびん
184,梅峰資源,札幌市南区藤野3条11丁目13-17,なし,011-596-1572,古紙回収協力店,月火水木金土日,なし,なし,終日利用可。1/1は利用不可。,不要,なし,古紙・リターナブルびん
185,藤野公園町内会ゴミステーション横,札幌市南区藤野3条11丁目14,なし,なし,エコボックス,月火水木金土日,8:00,18:00,なし,不要,なし,古紙・リターナブルびん
186,読売センター真駒内,札幌市南区真駒内柏丘9丁目2-1,なし,011-583-0077,古紙回収協力店,月火水木金土,10:00,15:00,日曜、祝日、年末年始は利用不可。,不要,なし,古紙・リターナブルびん
187,エメラルドマンション,札幌市南区南区真駒内柏丘10丁目12-2,なし,なし,エコボックス,月火水木金土日,6:00,10:00,12/31～1/3は利用不可。,不要,なし,古紙・リターナブルびん
188,ラルズマート　真駒内店,札幌市南区真駒内幸町1丁目2-3,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,サービスカウンターに持ち込み,古紙・リターナブルびん
189,南区役所,札幌市南区真駒内幸町2丁目,駐車場（区民センター側）,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
190,ミソマップ会館,札幌市南区簾舞4条2丁目10-18,なし,なし,エコボックス,月火水木金土日,10:00,19:00,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
191,中央地区リサイクルセンター,札幌市南区南30条西8丁目7-1,中央清掃事務所敷地内,011-211-2928,地区リサイクルセンター,月火水木金土日,10:00,15:00,年末年始は利用不可。,不要,電話はごみ減量推進担当課。,古紙・リターナブルびん
192,武田商店,札幌市南区南34条西8丁目2-21,なし,011-581-0289,古紙回収協力店,月火水木金土日,9:00,18:00,1/1～1/4は利用不可。,必要,なし,古紙・リターナブルびん
193,西区役所,札幌市西区琴似2条7丁目,正面入り口左手,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
194,エコリサイクル札幌,札幌市西区西町北2丁目5-24,なし,090-7514-4050,古紙回収協力店,月火水木金土日,9:00,18:00,なし,必要,なし,古紙・リターナブルびん
195,ラッキーマート　西野店,札幌市西区西野8条8丁目2-46,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
196,琴似マンション,札幌市西区二十四軒2条4丁目2-11,なし,なし,エコボックス,月火水木金土日,8:00,17:00,土曜の利用時間は08:00～12:00、日曜の利用時間は08:00～10:00。12/31～1/3は利用不可。,不要,なし,古紙・リターナブルびん
197,西地区リサイクルセンター,札幌市西区二十四軒4条1丁目5,JR高架下,011-211-2928,地区リサイクルセンター,火水木金土日,10:00,16:00,月曜が祝日の場合は開館し、翌平日が休館日。12/31～1/3は利用不可。,不要,電話はごみ減量推進担当課。,古紙・リターナブルびん
198,八軒会館 ,札幌市西区八軒1条西1丁目,なし,なし,エコボックス,月火水木金土日,9:00,18:00,12/29～1/3、お盆、ゴールデンウィークは利用不可。,不要,なし,古紙・リターナブルびん
199,吉川商店,札幌市西区八軒3条東5丁目4-33,協林マンション12号,011-737-4088,古紙回収協力店,月火水木金土日,9:00,17:00,8/13～8/16、12/29～1/4は利用不可。,必要,なし,古紙・リターナブルびん
200,山本工業株式会社,札幌市西区八軒4条東3丁目4-5,なし,011-631-5100,古紙回収協力店,月火水木金土日,8:00,18:00,なし,必要,なし,古紙・リターナブルびん
201,フレッティ　琴似店,札幌市西区八軒5条東1丁目5-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,サービスカウンターに持ち込み,古紙・リターナブルびん
202,八軒中央まちづくりセンター ,札幌市西区八軒6条西2丁目,なし,なし,エコボックス,月火水木金土日,9:00,17:00,5/3～5/5、8/13～8/15、12/29～1/3は利用不可。,不要,なし,古紙・リターナブルびん
203,ダイイチ　八軒店,札幌市西区八軒10条東5丁目,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
204,株式会社サクマ運輸倉庫西営業所,札幌市西区八軒10条西12丁目1-9,なし,011-631-4181,古紙回収協力店,月火水木金,9:00,17:00,土曜、日曜、祝日は利用不可。,不要,なし,古紙・リターナブルびん
205,永大紙業株式会社,札幌市西区八軒10条西12丁目2-25,なし,011-611-8010,古紙回収協力店,月火水木金土,8:30,16:00,日曜、12/30～1/3は利用不可。,不要,なし,古紙・リターナブルびん
206,ブックハウスマイネル,札幌市西区発寒3条5丁目3-12,なし,011-667-8785,古紙回収協力店,月火水木金土日,12:00,22:00,毎月第2金曜日、8/12～8/16、12/31～1/3は利用不可。,不要,なし,古紙・リターナブルびん
207,ビッグハウス　ウエスト,札幌市西区発寒7条9丁目4-33,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
208,王子山室古紙センター株式会社,札幌市西区発寒8条5丁目1-1,なし,011-663-3636,古紙回収協力店,月火水木金土日,なし,なし,終日利用可。,不要,なし,古紙・リターナブルびん
209,ラッキー　発寒店,札幌市西区発寒8条13丁目1-20,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
210,ダイイチ　発寒中央駅前店,札幌市西区発寒10条3丁目1-11,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
211,ラルズマート　発寒店,札幌市西区発寒14条4丁目2-23,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
212,株式会社鈴木商会札幌西事業所,札幌市西区発寒15条13丁目3-1,なし,011-662-2211,古紙回収協力店,月火水木金土,8:30,17:30,日曜、祝日、1～3月の土曜、8/14～8/15、12/29～12/31は利用不可。,不要,なし,古紙・リターナブルびん
213,株式会社イーアンドエム,札幌市西区発寒16条14丁目6-1,なし,011-213-9103,古紙回収協力店,月火水木金,9:00,17:00,土曜、日曜は利用不可。年末は要問合せ。,必要,なし,古紙・リターナブルびん
214,ラッキー　山の手店,札幌市西区山の手1条7丁目1-28,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
215,ラルズマート　山の手店,札幌市西区山の手2条6丁目5-20,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,サービスカウンターに持ち込み,古紙・リターナブルびん
216,石崎商店,札幌市西区山の手6条7丁目1-20,なし,011-642-3073,古紙回収協力店,月火水木金土,9:00,17:00,日曜、祝日、8/14～8/16、12/31～1/6は利用不可。,必要,なし,古紙・リターナブルびん
217,中央資源,札幌市山の手7条8丁目3-6,なし,011-611-7077,古紙回収協力店,月火水木金土日,9:00,17:00,12/31～1/5は利用不可。,必要,なし,古紙・リターナブルびん
218,笹嶋商会,札幌市手稲区稲穂4条4丁目12-8,なし,011-685-5380,古紙回収協力店,月火水木金土日,7:30,21:00,なし,不要,なし,古紙・リターナブルびん
219,ホクレンショップ　新発寒店,札幌市手稲区新発寒4条1丁目1-60,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
220,スーパーアークス　星置店,札幌市手稲区手稲山口478-1,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
221,株式会社丸升増田本店札幌西支店,札幌市手稲区西宮の沢2条2丁目4-30,なし,011-664-5278,古紙回収協力店,月火水木金土日,8:30,16:30,日曜、祝日の利用時間は8:30～16:00。1/1～1/4は利用不可。,不要,なし,古紙・リターナブルびん
222,コープさっぽろ西宮の沢店,札幌市手稲区西宮の沢3条1丁目12-1,なし,011-665-0051,古紙回収協力店,月火水木金土日,10:00,20:00,なし,不要,なし,古紙・リターナブルびん
223,株式会社広宣商事,札幌市手稲区西宮の沢3条1丁目173-4,なし,011-665-5155,古紙回収協力店,月火水木金土日,9:00,17:00,8/12～8/20、12/30～1/5は利用不可。,必要,なし,古紙・リターナブルびん
224,ラルズストア　宮の沢店,札幌市手稲区西宮の沢5条2丁目11-20,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
225,星置地区センター,札幌市手稲区星置2条3丁目,裏口入り口左手,なし,古紙回収ボックス,月火水木金土日,なし,なし,終日利用可。,不要,なし,古紙・リターナブルびん
226,手稲区役所,札幌市手稲区前田1条11丁目,駐車場奥（保健センター側）,なし,古紙回収ボックス,月火水木金土日,8:45,17:15,12/29～1/3は利用不可,不要,なし,古紙・リターナブルびん
227,ロジェ稲積公園,札幌市手稲区前田4条8丁目2-1,なし,なし,エコボックス,月火水木金土日,10:00,19:00,なし,不要,なし,古紙・リターナブルびん
228,ホクレンショップ　前田店,札幌市手稲区前田6条15丁目3-30,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
229,フードD　BOSCO店,札幌市手稲区前田7条11丁目2-10,なし,なし,ダンボール回収協力店,店舗の営業日,なし,なし,店舗の営業時間内で利用可能。,不要,なし,古紙・リターナブルびん
230,札幌市役所,北海道札幌市中央区 北1条西2,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
231,中央区役所,北海道札幌市中央区 南3条西11,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
232,イオン札幌桑園店,北海道札幌市中央区 北8条西14-28,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
233,北区役所,北海道札幌市北区 北24条西6-1-1,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
234,北清掃事務所,北海道札幌市北区 屯田町990-3,なし,なし,回収ボックス,月火水木金,8:00,16:30,祝・休日は15:30まで。年末年始、土日休み,なし,なし,小型家電
235,篠路出張所,北海道札幌市北区 篠路4条7-2-40,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
236,北地区リサイクルセンター,北海道札幌市北区 あいの里2条6-1-10,廃棄物空気輸送センター内,なし,回収ボックス,火水木金土日,10:00,16:00,年末年始、月曜休み。ただし月曜が祝日の場合は翌平日休み,なし,なし,小型家電
237,イトーヨーカドー屯田店,北海道札幌市北区 屯田8条3-5-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
238,イオン札幌麻生店,北海道札幌市北区 北39条西4-1-5,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
239,東区役所,北海道札幌市東区 北11条東7-1-1,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
240,東清掃事務所,北海道札幌市東区 丘珠町873-1,なし,なし,回収ボックス,月火水木金,8:00,16:30,祝・休日は15:30まで。年末年始、土日休み,なし,なし,小型家電
241,つどーむ,北海道札幌市東区 栄町885番地1,なし,なし,回収ボックス,施設営業日,9:00,21:00,休館日、イベント開催時の利用可否について事前に要確認,なし,なし,小型家電
242,イオン札幌苗穂店,北海道札幌市東区 東苗穂2条3-1-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
243,イトーヨーカドーアリオ札幌店,北海道札幌市東区 北7条東9-2-20,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
244,白石区役所（白石区複合庁舎）,北海道札幌市白石区 本郷通3-北1-1,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
245,白石清掃事務所,北海道札幌市白石区 東米里2170-1,なし,なし,回収ボックス,月火水木金,8:00,16:30,祝・休日は15:30まで。年末年始、土日休み,なし,なし,小型家電
246,ラソラ札幌（旧イーアス札幌）,北海道札幌市白石区 東札幌3条1-1-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
247,厚別区役所,北海道札幌市厚別区 厚別中央1条5-3-2,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
248,厚別地区リサイクルセンター,北海道札幌市厚別区 厚別東3条1-1-10,リユースプラザ内,なし,回収ボックス,月火水木金,10:00,16:00,年末年始、月曜休み。ただし月曜が祝日の場合は翌平日休み,なし,なし,小型家電
249,イオン新さっぽろ店,北海道札幌市厚別区 厚別中央2条5-7-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
250,豊平区役所,北海道札幌市豊平区 平岸6条10-1-1,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
251,平岸プール,北海道札幌市豊平区 平岸5条14-1-1,なし,なし,回収ボックス,月火水木金土日,10:00,21:00,店舗営業時間内,なし,なし,小型家電
252,清田区役所,北海道札幌市清田区 平岡1条1-2-1,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
253,イオン札幌平岡店,北海道札幌市清田区 平岡3条5-3-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
254,南区役所,北海道札幌市南区 真駒内幸町2-2-1,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
255,中央地区リサイクルセンター,北海道札幌市南区 南30条西8-7-1,なし,なし,回収ボックス,月火水木金土日,10:00,15:00,店舗営業時間内,なし,なし,小型家電
256,豊平・南清掃事務所,北海道札幌市南区 真駒内602,なし,なし,回収ボックス,月火水木金,8:00,16:30,祝・休日は15:30まで。年末年始、土日休み,なし,なし,小型家電
257,イオン札幌藻岩店,北海道札幌市南区 川沿2条2-1-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
258,西区役所,北海道札幌市西区 琴似2条7-1-1,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
259,西清掃事務所,北海道札幌市西区 発寒15条14-2-1,なし,なし,回収ボックス,月火水木金,8:00,16:30,祝・休日は15:30まで。年末年始、土日休み,なし,なし,小型家電
260,リサイクルプラザ宮の沢,北海道札幌市西区 宮の沢1条1-1-10,ちえりあ１Ｆ,なし,回収ボックス,火水木金土日,10:00,18:00,年末年始、月曜休み。ただし月曜が祝日の場合は翌平日休み,なし,なし,小型家電
261,西地区リサイクルセンター,北海道札幌市西区 二十四軒4条1-5,ＪＲ高架下リサイクルプラザ二十四軒サテライト内,なし,回収ボックス,火水木金土日,10:00,16:00,年末年始、月曜休み。ただし月曜が祝日の場合は翌平日休み,なし,なし,小型家電
262,イオン札幌発寒店,北海道札幌市西区 発寒8条12-1-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
263,イオン札幌琴似店,北海道札幌市西区 琴似2条4-2-2,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
264,手稲区役所,北海道札幌市手稲区 前田1条11-1-10,なし,なし,回収ボックス,月火水木金,8:45,17:15,年末年始、土日祝日休み,なし,なし,小型家電
265,イオンスーパーセンター手稲山口店,北海道札幌市手稲区 明日風6-1-1,なし,なし,回収ボックス,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
266,じゅんかんコンビニ24桑園店,北海道札幌市中央区 北9条西21-1,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
267,じゅんかんコンビニ24伏見店,北海道札幌市中央区 南15条西19-2,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
268,じゅんかんコンビニ24太平店,北海道札幌市北区 太平5条5-5,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
269,ＤＣＭホーマック篠路店リサイクルステーション,北海道札幌市北区 篠路1条1-1-10,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
270,じゅんかんコンビニ24元町店,北海道札幌市東区 北20条東20-1,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
271,じゅんかんコンビニ24マテックプラザ店,北海道札幌市白石区 本通20-北1-10,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
272,株式会社マテック札幌支店,北海道札幌市白石区 東米里2032-12,なし,なし,回収拠点,月火水木金,なし,なし,4～12月8：00～17：00、1～3月8：30～17：30土日祝日、年末年始休み,なし,なし,小型家電
273,じゅんかんコンビニ24森林公園店,北海道札幌市厚別区 厚別東4条8-15-1,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
274,じゅんかんコンビニ24月寒店,北海道札幌市豊平区 月寒東3条3-2,なし,なし,回収拠点,月火水木金土日,なし,なし,2018年10月６日オープン予定。年中無休、24時間営業,なし,なし,小型家電
275,じゅんかんコンビニ24西岡店,北海道札幌市豊平区 西岡4条1-5-9,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
276,ＤＣＭホーマック西岡店リサイクルステーション,北海道札幌市豊平区 西岡1条8-8-1,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
277,じゅんかんコンビニ24美しが丘店,北海道札幌市清田区 美しが丘1条4-1-15,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
278,ＤＣＭホーマック真栄店リサイクルステーション,北海道札幌市清田区 真栄4条2-1-10,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
279,ＤＣＭホーマック藤野店リサイクルステーション,北海道札幌市南区 藤野2条4-1-1,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
280,じゅんかんコンビニ24発寒店,北海道札幌市西区 発寒12条13-2-52,なし,なし,回収拠点,月火水木金土日,なし,なし,年中無休、24時間営業,なし,なし,小型家電
281,ＤＣＭホーマック発寒追分通店リサイクルステーション,北海道札幌市西区 発寒9条14-516-210,なし,なし,回収拠点,店舗営業日,なし,なし,店舗営業時間内,なし,なし,小型家電
